"dataset","candidate","originalIndex","source","inCalibrationRAW","inNaturalPool","inOracleOptions","inAugmentedPool"
"010","TOP:200","377","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:208","385","NATURAL_POOL","true","true","false","true"
"010","TOP:212","389","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:221","398","NATURAL_POOL","true","true","false","true"
"010","TOP:226","403","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:241","418","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:242","419","ORACLE_INJECTED","false","false","true","true"
"010","TOP:255","432","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:259","436","NATURAL_POOL","true","true","false","true"
"010","TOP:265","442","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:268","445","NATURAL_POOL","true","true","false","true"
"010","TOP:268","445","ORACLE_INJECTED","false","false","true","true"
"010","TOP:269","446","ORACLE_INJECTED","false","false","true","true"
"010","TOP:277","454","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:285","462","NATURAL_POOL","true","true","false","true"
"010","TOP:289","466","NATURAL_POOL","true","true","false","true"
"010","TOP:302","479","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:310","487","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:311","488","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:312","489","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:313","490","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:314","491","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:315","492","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:316","493","ORACLE_INJECTED","false","false","true","true"
"010","TOP:324","501","NATURAL_POOL","true","true","false","true"
"010","TOP:340","517","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:344","521","NATURAL_POOL","true","true","false","true"
"010","TOP:354","531","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:366","543","NATURAL_POOL","true","true","false","true"
"010","TOP:370","547","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:386","563","ORACLE_INJECTED","false","false","true","true"
"010","TOP:411","588","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:412","589","NATURAL_POOL","true","true","false","true"
